"title"	"ChIP"	"hyb.chamber"	"dataset"	"synchroset"	"monkeyid"	"time.point"	"infection.time"	"clinical.status"	"description"	"description.1"	"time.point.comb"	"time.period"
"GSM2228047"	"M28_150"	23	7	"Test"	"No"	"M28"	150	"M5"	"Latent"	"M28_150"	"9248833068_I.AVG_Signal"	150	"late"
"GSM2228049"	"M33_150"	24	7	"Test"	"No"	"M33"	150	"M5"	"Latent"	"M33_150"	"9248833069_A.AVG_Signal"	150	"late"
"GSM2228050"	"M20_150"	24	7	"Test"	"No"	"M20"	150	"M5"	"Latent"	"M20_150"	"9248833069_B.AVG_Signal"	150	"late"
"GSM2228051"	"M22_150"	24	7	"Test"	"No"	"M22"	150	"M5"	"Active"	"M22_150"	"9248833069_C.AVG_Signal"	150	"late"
"GSM2228053"	"M36_42"	24	7	"Test"	"No"	"M36"	42	"D42"	"Latent"	"M36_42"	"9248833069_E.AVG_Signal"	42	"middle"
"GSM2228054"	"M23_42"	24	7	"Test"	"No"	"M23"	42	"D42"	"Active"	"M23_42"	"9248833069_F.AVG_Signal"	42	"middle"
"GSM2228055"	"M29_150"	24	7	"Test"	"No"	"M29"	150	"M5"	"Latent"	"M29_150"	"9248833069_G.AVG_Signal"	150	"late"
"GSM2228056"	"M34_30"	24	7	"Test"	"No"	"M34"	30	"D30"	"Latent"	"M34_30"	"9248833069_H.AVG_Signal"	30	"middle"
"GSM2228057"	"M26_56"	24	7	"Test"	"No"	"M26"	56	"D56"	"Latent"	"M26_56"	"9248833069_I.AVG_Signal"	56	"middle"
"GSM2228058"	"M30_56"	24	7	"Test"	"No"	"M30"	56	"D56"	"Active"	"M30_56"	"9248833069_J.AVG_Signal"	56	"middle"
"GSM2228059"	"M27_90"	24	7	"Test"	"No"	"M27"	90	"M3"	"Latent"	"M27_90"	"9248833069_K.AVG_Signal"	90	"late"
"GSM2228062"	"M29_42"	25	7	"Test"	"No"	"M29"	42	"D42"	"Latent"	"M29_42"	"9248833070_C.AVG_Signal"	42	"middle"
"GSM2228065"	"M38_90"	25	7	"Test"	"No"	"M38"	90	"M3"	"Active"	"M38_90"	"9248833070_F.AVG_Signal"	90	"late"
"GSM2228066"	"M21_180"	25	7	"Test"	"Yes"	"M21"	180	"M6"	"Latent"	"M21_180"	"9248833070_G.AVG_Signal"	180	"late"
"GSM2228069"	"M25_90"	25	7	"Test"	"No"	"M25"	90	"M3"	"Latent"	"M25_90"	"9248833070_J.AVG_Signal"	90	"late"
"GSM2228070"	"M22_30"	25	7	"Test"	"No"	"M22"	30	"D30"	"Active"	"M22_30"	"9248833070_K.AVG_Signal"	30	"middle"
"GSM2228073"	"M29_180"	26	8	"Test"	"Yes"	"M29"	180	"M6"	"Latent"	"M29_180"	"9248833072_B.AVG_Signal"	180	"late"
"GSM2228074"	"M31_56"	26	8	"Test"	"No"	"M31"	56	"D56"	"Active"	"M31_56"	"9248833072_C.AVG_Signal"	56	"middle"
"GSM2228075"	"M27_20"	26	8	"Test"	"No"	"M27"	20	"D20"	"Latent"	"M27_20"	"9248833072_D.AVG_Signal"	20	"middle"
"GSM2228077"	"M30_180"	26	8	"Test"	"Yes"	"M30"	180	"M6"	"Active"	"M30_180"	"9248833072_F.AVG_Signal"	180	"late"
